Experiment No,Image name,Collection name,RMSE,Delta E
1,DSC01210,sony,66.84737065540924,16.173182829665123
1,DSC01210,sony_corrected,29.405389311704692,8.650335405418433
1,DSC01210,sony_corrected_danet,29.25939964264333,8.672306468623038
1,DSC01210,sony_corrected_danet_pp,29.112239023089586,8.63184875735574
1,DSC01210,sony_corrected_nlmd,29.263639481498622,8.653795460402995
1,DSC01210,sony_corrected_uformer,29.386522562789448,8.82555385296162
2,DSC01211,sony,65.70125034483742,15.932024272622455
2,DSC01211,sony_corrected,29.28060798389012,8.645244372900978
2,DSC01211,sony_corrected_danet,29.14882313188576,8.665075218008958
2,DSC01211,sony_corrected_danet_pp,29.020180882232626,8.624334012844193
2,DSC01211,sony_corrected_nlmd,29.156061595050435,8.571695287289673
2,DSC01211,sony_corrected_uformer,29.306097159621352,8.843625980413918
3,DSC01212,sony,62.993065507905975,15.290994039410569
3,DSC01212,sony_corrected,28.439749224237193,8.426563446465513
3,DSC01212,sony_corrected_danet,28.808548287393506,8.531389301735624
3,DSC01212,sony_corrected_danet_pp,28.31871080240795,8.428604826884289
3,DSC01212,sony_corrected_nlmd,28.43870475927862,8.383353175872442
3,DSC01212,sony_corrected_uformer,29.27595225109396,8.808890462863515
4,DSC01213,sony,57.077392863038746,14.437894674576354
4,DSC01213,sony_corrected,30.243632841871996,9.007420066058765
4,DSC01213,sony_corrected_danet,30.14715023543201,9.333642964055121
4,DSC01213,sony_corrected_danet_pp,30.434647047163477,9.355388445415636
4,DSC01213,sony_corrected_nlmd,30.058957637363136,8.983917356719152
4,DSC01213,sony_corrected_uformer,30.61613259165487,9.418744528162955
5,DSC01214,sony,73.84899561704162,19.47229599934515
5,DSC01214,sony_corrected,30.794812473214,9.175691961104077
5,DSC01214,sony_corrected_danet,30.45478178749535,9.596086940580008
5,DSC01214,sony_corrected_danet_pp,30.852468900228768,9.661229804001765
5,DSC01214,sony_corrected_nlmd,30.64015887585278,9.128731931670627
5,DSC01214,sony_corrected_uformer,30.802676024339455,9.639591636202328
6,DSC01215,sony,71.89230090689475,18.63840579455896
6,DSC01215,sony_corrected,31.295483826627578,9.164388363564154
6,DSC01215,sony_corrected_danet,30.594917729672304,9.666204208648212
6,DSC01215,sony_corrected_danet_pp,30.98645642487752,9.776899936193116
6,DSC01215,sony_corrected_nlmd,31.079084690645786,9.10925642720179
6,DSC01215,sony_corrected_uformer,30.884894511465877,9.624616848926824
7,DSC01217,sony,61.41117717721804,14.50843062573796
7,DSC01217,sony_corrected,31.149881286558166,9.051892127198304
7,DSC01217,sony_corrected_danet,31.12838314110077,9.134786139105222
7,DSC01217,sony_corrected_danet_pp,30.952716165481075,9.104058679333043
7,DSC01217,sony_corrected_nlmd,31.08244795641974,9.027949120788023
7,DSC01217,sony_corrected_uformer,31.303186509955875,9.289551752329336
8,DSC01218,sony,53.501490682114024,12.62153538474967
8,DSC01218,sony_corrected,29.586687383221868,8.71306199540032
8,DSC01218,sony_corrected_danet,29.39362635304279,8.720528031565108
8,DSC01218,sony_corrected_danet_pp,29.316911204151154,8.694244584123672
8,DSC01218,sony_corrected_nlmd,29.4869928510154,8.658292751682366
8,DSC01218,sony_corrected_uformer,29.717665595357587,8.925344422726521
9,DSC01219,sony,59.78995079564653,14.265930531444297
9,DSC01219,sony_corrected,29.68964082193344,8.705160252340791
9,DSC01219,sony_corrected_danet,29.68733004337316,8.761292257711291
9,DSC01219,sony_corrected_danet_pp,29.51042999543763,8.726193800444522
9,DSC01219,sony_corrected_nlmd,29.657750993802896,8.724861032317603
9,DSC01219,sony_corrected_uformer,29.793320175558367,8.910464615222578
